Temperature,Pressure,Humidity,Dew point,Wind speed,Rainfall
30,1010,27,9,7.4,0
23,1011,47,11,0,0
21,1010,60,13,0,0
20,1011,52,10,9.3,0
22,1012,46,10,9.3,0
23,1012,44,10,20.4,0
26,1012,39,11,13,0
28,1011,32,10,16.7,0
30,1010,29,10,22.2,0
31,1009,24,8,18.5,0
31,1009,22,7,22.2,0
31,1009,22,7,14.8,0
30,1009,25,8,14.8,0
27,1009,34,10,7.4,0
25,1009,41,11,0,0
22,1010,53,12,0,0
19,1010,64,12,0,0
20,1010,60,12,0,0
19,1009,64,12,0,0
19,1009,60,11,0,0
17,1009,68,11,0,0
17,1009,68,11,0,0
17,1009,72,12,0,0
17,1009,72,12,0,0
17,1011,63,10,7.4,0
19,1012,64,12,7.4,0
22,1012,53,12,9.3,0
22,1012,60,14,9.3,0
26,1011,44,13,5.6,0
28,1010,30,9,24.1,0
28,1010,35,11,11.1,0
29,1009,33,11,14.8,0
29,1009,33,11,11.1,0
27,1009,39,12,5.6,0
26,1010,42,12,0,0
22,1010,60,14,0,0
22,1011,57,13,0,0
21,1011,60,13,0,0
21,1011,56,12,0,0
20,1011,64,13,0,0
20,1011,60,12,0,0
19,1011,64,12,0,0
19,1010,68,13,0,0
19,1010,64,12,0,0
17,1010,77,13,0,0
17,1010,77,13,0,0
18,1011,68,12,0,0
15,1012,77,11,7.4,0
20,1014,60,12,0,0
26,1013,42,12,5.6,0
28,1013,37,12,0,0
28,1012,32,10,9.3,0
29,1011,27,8,11.1,0
29,1010,29,9,0,0
29,1010,25,7,0,0
27,1010,34,10,0,0
25,1010,39,10,0,0
23,1011,44,10,0,0
21,1011,46,9,0,0
21,1011,46,9,0,0
18,1011,59,10,0,0
18,1011,64,11,0,0
17,1010,68,11,0,0
24,1013,38,9,9.3,0
26,1013,34,9,9.3,0
29,1012,27,8,9.3,0
30,1011,23,7,7.4,0
30,1010,25,8,14.8,0
28,1012,30,9,13,0
29,1011,25,7,14.8,0
29,1011,27,8,9.3,0
29,1010,22,5,11.1,0
28,1010,26,7,9.3,0
24,1012,36,8,9.3,0
20,1012,52,10,0,0
17,1012,68,11,0,0
16,1012,72,11,0,0
16,1012,72,11,0,0
15,1012,77,11,0,0
15,1012,77,11,0,0
17,1013,68,11,5.6,0
18,1014,59,10,0,0
19,1015,64,12,5.6,0
23,1015,53,13,9.3,0
25,1015,47,13,13,0
27,1014,37,11,7.4,0
29,1013,33,11,5.6,0
29,1012,27,8,13,0
30,1012,25,8,7.4,0
30,1012,23,7,5.6,0
29,1012,25,7,5.6,0
25,1013,36,9,0,0
24,1013,38,9,0,0
22,1014,46,10,0,0
20,1014,49,9,0,0
19,1014,52,9,0,0
19,1014,52,9,0,0
19,1014,49,8,0,0
18,1014,52,8,0,0
17,1014,59,9,0,0
17,1013,59,9,0,0
15,1013,63,8,0,0
15,1014,59,7,5.6,0
16,1015,59,8,7.4,0
18,1016,49,7,9.3,0
21,1016,46,9,7.4,0
24,1016,38,9,5.6,0
27,1016,32,9,9.3,0
28,1015,23,5,5.6,0
29,1014,23,6,0,0
29,1014,23,6,0,0
28,1014,25,6,5.6,0
27,1014,26,6,0,0
23,1014,41,9,0,0
21,1015,46,9,0,0
21,1015,49,10,0,0
20,1015,49,9,0,0
20,1015,49,9,0,0
19,1015,56,10,0,0
19,1015,52,9,0,0
18,1015,59,10,0,0
17,1014,59,9,0,0
17,1014,59,9,0,0
16,1014,59,8,0,0
16,1014,59,8,0,0
16,1014,55,7,0,0
15,1014,59,7,5.6,0
16,1015,52,6,9.3,0
18,1016,49,7,13,0
21,1016,46,9,9.3,0
24,1016,38,9,9.3,0
27,1014,28,7,11.1,0
28,1013,28,8,11.1,0
28,1013,26,7,11.1,0
27,1012,30,8,7.4,0
25,1013,32,7,7.4,0
21,1013,43,8,0,0
20,1014,46,8,0,0
19,1014,52,9,0,0
